configuration ID,learning_rate,buffer,batch,tau,gamma,Reward,n_eval_episode
24,0.001,100000,32,0.001,0.5,-1412.73473,5
24,0.001,100000,32,0.001,0.5,-1436.832271,6
24,0.001,100000,32,0.001,0.5,-1486.226915,7
24,0.001,100000,32,0.001,0.5,-1075.561675,8
24,0.001,100000,32,0.001,0.5,-1181.677303,9
24,0.001,100000,32,0.001,0.5,-1504.193305,10
24,0.001,100000,32,0.001,0.5,-1402.352606,11
24,0.001,100000,32,0.001,0.5,-1174.679468,12
24,0.001,100000,32,0.001,0.5,-1229.935808,13
24,0.001,100000,32,0.001,0.5,-1473.213452,14
24,0.001,100000,32,0.001,0.5,-1135.825216,15
24,0.001,100000,32,0.001,0.5,-1262.80768,16
24,0.001,100000,32,0.001,0.5,-1401.164182,17
24,0.001,100000,32,0.001,0.5,-1506.079384,18
24,0.001,100000,32,0.001,0.5,-1504.518518,19
24,0.001,100000,32,0.001,0.5,-1371.450137,20
25,0.001,100000,32,0.001,0.99,-604.850816,1
25,0.001,100000,32,0.001,0.99,-408.330635,2
